Date,Time,Booking ID,Booking Status,Customer ID,Vehicle Type,Pickup Location,Drop Location,Avg VTAT,Avg CTAT,Cancelled Rides by Customer,Reason for cancelling by Customer,Cancelled Rides by Driver,Driver Cancellation Reason,Incomplete Rides,Incomplete Rides Reason,Booking Value,Ride Distance,Driver Ratings,Customer Rating,Payment Method
2024-10-29,19:07:36,"""CNR5710614""",Cancelled by Driver,"""CID7321214""",Go Mini,INA Market,Maidan Garhi,6.0,,,,1.0,The customer was coughing/sick,,,,,,,
2024-12-28,19:57:36,"""CNR6490728""",Completed,"""CID2114564""",Auto,Noida Sector 18,Keshav Puram,2.0,43.4,,,,,,,416.0,46.56,4.2,3.1,Debit Card
2024-04-08,17:04:27,"""CNR2527597""",Completed,"""CID4193612""",Go Sedan,Ashok Park Main,IIT Delhi,9.6,28.7,,,,,,,1032.0,35.95,4.3,5.0,Uber Wallet
2024-04-20,20:53:09,"""CNR7018190""",Cancelled by Driver,"""CID4511836""",eBike,Qutub Minar,Ghitorni Village,11.9,,,,1.0,Personal & Car related issues,,,,,,,
2024-03-06,18:47:44,"""CNR3492451""",Completed,"""CID1410167""",Go Mini,Sushant Lok,Shastri Nagar,11.0,26.5,,,,,,,164.0,6.82,4.1,4.9,Credit Card
2024-06-07,05:13:09,"""CNR1974030""",Completed,"""CID6764738""",Go Mini,Nehru Place,Ambience Mall,13.1,22.5,,,,,,,733.0,41.55,4.3,4.6,UPI
2024-05-02,14:13:01,"""CNR2496971""",Completed,"""CID3592252""",Premier Sedan,Manesar,India Gate,13.2,19.1,,,,,,,451.0,48.45,4.6,3.2,UPI
2024-11-23,20:57:11,"""CNR7865701""",Cancelled by Driver,"""CID6965127""",Go Mini,Delhi Gate,Nirman Vihar,10.3,,,,1.0,The customer was coughing/sick,,,,,,,
2024-03-29,18:38:29,"""CNR2359134""",Cancelled by Customer,"""CID6402636""",Go Sedan,Green Park,Dwarka Mor,17.3,,1.0,Wrong Address,,,,,,,,,
2024-03-23,17:13:14,"""CNR7524798""",Completed,"""CID8099368""",Go Mini,Moolchand,Basai Dhankot,6.5,44.9,,,,,,,211.0,36.38,4.3,4.2,UPI
2024-10-31,19:57:38,"""CNR6747802""",Completed,"""CID7099451""",Bike,Shastri Park,Sadar Bazar Gurgaon,8.2,39.0,,,,,,,339.0,3.1,4.3,4.6,UPI
2024-11-02,22:50:21,"""CNR2470199""",No Driver Found,"""CID4099125""",Auto,Jama Masjid,Kherki Daula Toll,,,,,,,,,,,,,
2024-08-23,09:40:27,"""CNR1038413""",Cancelled by Driver,"""CID1712180""",Go Mini,Mandi House,Ashok Vihar,11.3,,,,1.0,The customer was coughing/sick,,,,,,,
2024-07-17,22:43:34,"""CNR8787232""",Completed,"""CID4270385""",eBike,Karkarduma,Okhla,13.4,42.6,,,,,,,249.0,7.46,4.6,3.9,Credit Card
2024-02-16,14:07:05,"""CNR9328540""",Completed,"""CID1092788""",Go Sedan,Subhash Nagar,Manesar,12.7,31.6,,,,,,,252.0,40.66,4.6,3.7,Debit Card
2024-12-06,14:59:05,"""CNR7406579""",Cancelled by Driver,"""CID5251800""",eBike,Lajpat Nagar,India Gate,3.2,,,,1.0,More than permitted people in there,,,,,,,
2024-07-01,17:23:17,"""CNR6582870""",Completed,"""CID2139868""",Premier Sedan,IIT Delhi,Dwarka Mor,10.8,23.0,,,,,,,235.0,27.76,4.3,4.9,Cash
2024-08-17,11:09:09,"""CNR2131284""",Cancelled by Driver,"""CID8174303""",Bike,Nehru Place,Mayur Vihar,6.2,,,,1.0,Personal & Car related issues,,,,,,,
2024-12-13,18:42:38,"""CNR6982595""",Completed,"""CID7501719""",Auto,New Colony,INA Market,3.7,22.3,,,,,,,423.0,10.54,4.1,4.3,Credit Card
2024-11-30,08:57:16,"""CNR9497261""",Completed,"""CID3649654""",Go Sedan,Kadarpur,Ghaziabad,4.5,27.3,,,,,,,833.0,3.28,4.4,4.5,UPI
2024-05-14,13:19:39,"""CNR4634821""",No Driver Found,"""CID6993324""",Auto,Sarai Kale Khan,Nawada,,,,,,,,,,,,,
2024-08-10,10:43:07,"""CNR4201174""",Completed,"""CID4441989""",Bike,Manesar,Greater Noida,7.3,39.8,,,,,,,581.0,3.3,4.7,4.3,Credit Card
2024-01-20,19:47:42,"""CNR3085983""",Completed,"""CID3789982""",eBike,Indraprastha,Mayur Vihar,3.8,30.2,,,,,,,796.0,8.87,4.6,4.6,Debit Card
2024-05-19,12:52:12,"""CNR3302443""",Completed,"""CID7301638""",Auto,Ashok Park Main,Chhatarpur,12.7,20.3,,,,,,,841.0,14.52,4.2,4.6,Cash
2024-02-04,15:59:31,"""CNR1956854""",Incomplete,"""CID2063646""",Premier Sedan,Welcome,Shahdara,3.6,24.9,,,,,1.0,Other Issue,744.0,2.3,,,Cash
2024-11-19,19:56:16,"""CNR1361888""",Completed,"""CID2544855""",eBike,Netaji Subhash Place,Subhash Nagar,4.3,31.9,,,,,,,437.0,48.86,4.3,4.1,Credit Card
2024-11-01,19:21:26,"""CNR5256701""",Cancelled by Customer,"""CID7452337""",Uber XL,Munirka,Huda City Centre,11.4,,1.0,AC is not working,,,,,,,,,
2024-11-20,19:51:20,"""CNR7163753""",Completed,"""CID5924058""",Auto,New Colony,Jor Bagh,4.4,40.2,,,,,,,1017.0,29.02,4.8,4.2,Cash
2024-11-13,22:58:19,"""CNR7675324""",Completed,"""CID7763643""",Auto,Chandni Chowk,Ambience Mall,6.0,44.5,,,,,,,209.0,2.21,4.1,4.2,UPI
2024-04-13,19:06:15,"""CNR1609997""",No Driver Found,"""CID6401417""",Go Sedan,Basai Dhankot,IFFCO Chowk,,,,,,,,,,,,,
2024-12-19,17:27:44,"""CNR1956367""",Incomplete,"""CID1433063""",eBike,Sarojini Nagar,Arjangarh,8.5,11.4,,,,,1.0,Other Issue,75.0,7.49,,,Credit Card
2024-07-08,15:07:39,"""CNR5007560""",Completed,"""CID4172684""",Premier Sedan,DLF City Court,Greater Noida,13.8,22.5,,,,,,,116.0,33.29,4.4,4.9,Uber Wallet
2024-04-16,21:55:40,"""CNR8930271""",Completed,"""CID1049111""",Bike,Palam Vihar,Malviya Nagar,6.3,31.5,,,,,,,367.0,34.9,3.1,4.5,UPI
2024-09-30,14:29:33,"""CNR4369792""",Completed,"""CID6905120""",Premier Sedan,Moti Nagar,Panchsheel Park,2.2,20.0,,,,,,,588.0,11.04,4.7,4.3,UPI
2024-03-26,14:32:13,"""CNR3175551""",Completed,"""CID1126800""",Go Mini,Shivaji Park,Ashok Park Main,7.4,39.7,,,,,,,364.0,31.07,4.3,4.2,UPI
2024-10-15,12:54:47,"""CNR1699310""",No Driver Found,"""CID3705699""",Bike,Sultanpur,Kashmere Gate ISBT,,,,,,,,,,,,,
2024-12-04,18:00:23,"""CNR6523418""",No Driver Found,"""CID9021667""",Auto,Dwarka Sector 21,Chhatarpur,,,,,,,,,,,,,
2024-12-21,09:43:16,"""CNR9511238""",Completed,"""CID7294260""",Uber XL,Basai Dhankot,Malviya Nagar,10.9,35.2,,,,,,,648.0,4.33,4.8,4.3,Credit Card
2024-01-17,16:09:27,"""CNR7301784""",Cancelled by Driver,"""CID3794470""",eBike,Okhla,Shastri Park,4.4,,,,1.0,Personal & Car related issues,,,,,,,
2024-11-24,10:32:04,"""CNR8532277""",Completed,"""CID6753598""",Go Sedan,Jor Bagh,Madipur,13.8,42.1,,,,,,,469.0,11.8,4.6,4.3,Debit Card
2024-10-06,17:43:16,"""CNR3914934""",Completed,"""CID9146258""",Go Mini,Ardee City,Rohini East,7.2,23.5,,,,,,,82.0,31.9,4.9,4.1,UPI
2024-12-17,00:01:47,"""CNR3762841""",Cancelled by Customer,"""CID3739162""",eBike,Hauz Khas,Samaypur Badli,12.2,,1.0,Wrong Address,,,,,,,,,
2024-01-15,23:58:16,"""CNR2678367""",Cancelled by Customer,"""CID7586717""",Auto,Central Secretariat,Anand Vihar ISBT,16.9,,1.0,Change of plans,,,,,,,,,
2024-10-02,10:30:37,"""CNR6956212""",No Driver Found,"""CID3413342""",Go Sedan,Narsinghpur,Badarpur,,,,,,,,,,,,,
2024-04-22,16:54:09,"""CNR6193161""",Completed,"""CID8848645""",Bike,Govindpuri,Mansarovar Park,2.4,15.7,,,,,,,1386.0,5.69,4.5,3.7,Debit Card
2024-07-24,21:40:13,"""CNR3854338""",Completed,"""CID1580984""",eBike,Chandni Chowk,Manesar,10.0,42.0,,,,,,,766.0,12.97,4.3,4.6,Cash
2024-09-07,09:44:26,"""CNR6809667""",Completed,"""CID8627890""",Auto,Adarsh Nagar,South Extension,2.6,28.3,,,,,,,970.0,23.41,4.6,4.3,Credit Card
2024-04-21,21:37:24,"""CNR6933884""",Completed,"""CID5636202""",Go Mini,Mayur Vihar,Rohini East,12.6,37.1,,,,,,,183.0,18.21,4.7,4.6,Uber Wallet
2024-12-13,13:06:52,"""CNR7607905""",Completed,"""CID3927481""",Go Sedan,DLF City Court,Aya Nagar,6.6,28.0,,,,,,,169.0,37.35,4.5,4.2,UPI
2024-05-14,06:45:10,"""CNR7752906""",Completed,"""CID1772796""",Premier Sedan,Adarsh Nagar,Jama Masjid,7.8,41.6,,,,,,,233.0,16.0,4.6,4.7,UPI
2024-10-30,18:56:19,"""CNR7232874""",Completed,"""CID2986044""",Auto,Karol Bagh,Bhiwadi,6.3,20.1,,,,,,,340.0,38.5,3.6,3.6,UPI
2024-04-20,12:27:31,"""CNR8647939""",No Driver Found,"""CID5789543""",eBike,Palam Vihar,Gurgaon Sector 29,,,,,,,,,,,,,
2024-01-16,18:37:28,"""CNR9963949""",Completed,"""CID8873776""",Go Mini,Indraprastha,Saket A Block,3.3,21.4,,,,,,,341.0,28.77,4.5,4.6,Debit Card
2024-03-25,03:46:57,"""CNR4649287""",Cancelled by Customer,"""CID2198041""",Go Sedan,Okhla,Jama Masjid,11.2,,1.0,Change of plans,,,,,,,,,
2024-10-24,16:55:25,"""CNR9571783""",Completed,"""CID2001361""",Go Sedan,Munirka,AIIMS,9.1,26.3,,,,,,,443.0,35.39,4.3,4.6,Credit Card
2024-02-20,20:16:48,"""CNR6282701""",Completed,"""CID4290173""",Premier Sedan,Shahdara,IGNOU Road,14.2,34.0,,,,,,,395.0,3.12,4.7,4.9,Cash
2024-06-15,14:23:36,"""CNR1119795""",Completed,"""CID9281639""",Auto,Maidan Garhi,Dilshad Garden,13.6,17.1,,,,,,,68.0,41.56,4.9,4.8,Uber Wallet
2024-04-06,09:57:35,"""CNR9669573""",Completed,"""CID7987461""",Premier Sedan,Peeragarhi,Keshav Puram,8.0,41.4,,,,,,,357.0,37.32,4.3,4.9,UPI
2024-11-30,07:42:58,"""CNR6978812""",Completed,"""CID3881534""",Go Mini,Peeragarhi,Bhikaji Cama Place,11.7,32.7,,,,,,,318.0,8.73,4.2,4.6,UPI
2024-06-18,09:21:46,"""CNR9180959""",No Driver Found,"""CID2297141""",Auto,IIT Delhi,Gurgaon Sector 29,,,,,,,,,,,,,
2024-09-23,17:05:20,"""CNR9463568""",Completed,"""CID1127621""",eBike,Cyber Hub,Kirti Nagar,9.0,28.5,,,,,,,158.0,36.23,4.3,4.6,Debit Card
2024-06-24,21:22:16,"""CNR7761497""",Cancelled by Driver,"""CID8990115""",Bike,Janakpuri,Saidulajab,3.8,,,,1.0,The customer was coughing/sick,,,,,,,
2024-01-19,09:51:44,"""CNR1035856""",Cancelled by Driver,"""CID5212044""",Uber XL,Jor Bagh,Shahdara,8.1,,,,1.0,Personal & Car related issues,,,,,,,
2024-04-29,10:22:33,"""CNR8024925""",Completed,"""CID6345238""",Auto,Greater Noida,Seelampur,14.9,26.5,,,,,,,585.0,18.92,3.9,4.8,Cash
2024-06-23,04:54:11,"""CNR8416330""",Completed,"""CID1758909""",Premier Sedan,Hero Honda Chowk,Chandni Chowk,8.6,29.0,,,,,,,579.0,26.13,4.2,4.0,UPI
2024-10-05,00:13:10,"""CNR6762819""",Completed,"""CID8970173""",Premier Sedan,Narsinghpur,Azadpur,14.9,31.1,,,,,,,124.0,41.15,3.2,4.9,Uber Wallet
2024-10-26,15:38:09,"""CNR8725707""",Completed,"""CID5009329""",Bike,Delhi Gate,IIT Delhi,6.7,29.1,,,,,,,282.0,7.3,4.1,4.4,UPI
2024-01-02,18:30:04,"""CNR1598879""",No Driver Found,"""CID4956181""",Auto,Barakhamba Road,IGNOU Road,,,,,,,,,,,,,
2024-12-12,08:58:49,"""CNR6797108""",Completed,"""CID1065465""",Go Sedan,Kadarpur,Dwarka Sector 21,9.7,43.5,,,,,,,282.0,48.46,4.1,5.0,Debit Card
2024-01-18,08:33:13,"""CNR3212483""",Cancelled by Driver,"""CID5693439""",eBike,Central Secretariat,Sarojini Nagar,11.2,,,,1.0,The customer was coughing/sick,,,,,,,
2024-09-12,19:32:54,"""CNR9533159""",Completed,"""CID8224175""",Go Mini,Jama Masjid,Panipat,9.7,31.7,,,,,,,650.0,29.55,4.3,4.6,Credit Card
2024-10-03,10:57:08,"""CNR6625540""",Cancelled by Driver,"""CID8818200""",Auto,Old Gurgaon,Peeragarhi,5.1,,,,1.0,More than permitted people in there,,,,,,,
2024-04-11,17:21:34,"""CNR4685018""",Cancelled by Customer,"""CID2826690""",Auto,Gwal Pahari,Moolchand,18.4,,1.0,Wrong Address,,,,,,,,,
2024-08-14,18:00:31,"""CNR6469540""",Cancelled by Driver,"""CID7333231""",Auto,Nehru Place,DLF Phase 3,6.3,,,,1.0,Personal & Car related issues,,,,,,,
2024-11-30,19:57:16,"""CNR8319878""",Completed,"""CID4990444""",Go Mini,Saket A Block,Hauz Khas,10.3,25.5,,,,,,,422.0,45.05,3.1,3.8,Uber Wallet
2024-09-16,22:20:05,"""CNR8287476""",No Driver Found,"""CID8086229""",Auto,Indirapuram,Ashok Park Main,,,,,,,,,,,,,
2024-03-05,13:58:00,"""CNR5078487""",Completed,"""CID8709560""",Bike,GTB Nagar,Saidulajab,13.0,39.5,,,,,,,158.0,37.91,4.4,4.4,Debit Card
2024-04-02,12:36:42,"""CNR3914737""",Cancelled by Customer,"""CID1493939""",eBike,Maidan Garhi,INA Market,17.5,,1.0,Change of plans,,,,,,,,,
2024-06-16,19:21:15,"""CNR1156926""",Cancelled by Driver,"""CID7118651""",Bike,Chandni Chowk,Dwarka Mor,10.0,,,,1.0,Personal & Car related issues,,,,,,,
2024-03-03,14:28:42,"""CNR6847466""",Completed,"""CID6011450""",eBike,Subhash Nagar,Gurgaon Railway Station,10.7,25.6,,,,,,,246.0,41.47,3.8,4.6,Cash
2024-02-13,19:24:15,"""CNR1298276""",Completed,"""CID2161268""",Go Mini,Palam Vihar,Faridabad Sector 15,13.1,32.9,,,,,,,362.0,36.85,4.3,4.6,UPI
2024-12-30,09:58:26,"""CNR7213359""",Completed,"""CID9198559""",Auto,Mundka,Udyog Bhawan,2.1,32.8,,,,,,,729.0,11.38,4.6,3.8,Debit Card
2024-01-02,10:55:16,"""CNR3746300""",No Driver Found,"""CID4963313""",Go Mini,Inderlok,Sadar Bazar Gurgaon,,,,,,,,,,,,,
2024-03-29,17:52:42,"""CNR3998217""",Completed,"""CID3952812""",Bike,Chhatarpur,Dwarka Mor,6.1,16.8,,,,,,,187.0,43.06,4.3,4.3,Cash
2024-05-16,15:13:23,"""CNR3611937""",Completed,"""CID4360485""",eBike,Kherki Daula Toll,Ambience Mall,11.4,29.9,,,,,,,511.0,11.92,4.2,4.2,Credit Card
2024-10-12,14:19:37,"""CNR4422470""",Completed,"""CID9828206""",Auto,Azadpur,Netaji Subhash Place,11.7,41.1,,,,,,,836.0,32.97,4.2,3.9,Cash
2024-09-09,19:15:45,"""CNR1441180""",Completed,"""CID5199393""",Go Sedan,Okhla,DLF Phase 3,13.0,26.5,,,,,,,1249.0,21.99,4.2,4.2,UPI
2024-03-09,16:07:43,"""CNR8119613""",Completed,"""CID3821134""",eBike,GTB Nagar,Badshahpur,11.8,34.8,,,,,,,321.0,3.86,4.5,4.9,Uber Wallet
2024-05-02,08:58:48,"""CNR6779497""",Completed,"""CID9662370""",Go Sedan,Panchsheel Park,Govindpuri,13.8,15.4,,,,,,,261.0,27.45,4.4,4.6,UPI
2024-12-29,18:51:37,"""CNR6959864""",Completed,"""CID5483184""",Go Mini,Narsinghpur,Keshav Puram,4.9,18.0,,,,,,,114.0,17.24,4.3,4.9,Debit Card
2024-07-17,08:50:01,"""CNR9916399""",No Driver Found,"""CID5049640""",Auto,Dwarka Mor,Shastri Park,,,,,,,,,,,,,
2024-04-10,16:48:04,"""CNR4340901""",Completed,"""CID5302694""",eBike,South Extension,Azadpur,4.1,42.2,,,,,,,1411.0,42.04,4.2,4.5,UPI
2024-01-01,01:19:23,"""CNR5701642""",Completed,"""CID6925479""",Go Sedan,Ashram,Malviya Nagar,9.3,35.5,,,,,,,669.0,40.78,4.3,3.4,Credit Card
2024-04-26,09:36:29,"""CNR5225717""",Completed,"""CID6247685""",Go Mini,Subhash Chowk,New Colony,5.8,41.0,,,,,,,111.0,7.34,4.3,4.6,Uber Wallet
2024-04-13,10:01:55,"""CNR5143515""",Completed,"""CID1993292""",Go Mini,Meerut,Seelampur,9.7,19.1,,,,,,,608.0,10.66,4.7,4.9,Cash
2024-10-06,20:32:42,"""CNR6580658""",Cancelled by Customer,"""CID4290777""",Go Sedan,IGNOU Road,Jor Bagh,11.7,,1.0,Change of plans,,,,,,,,,
2024-06-22,22:10:57,"""CNR8277063""",Completed,"""CID6751472""",Go Sedan,Patel Chowk,Chirag Delhi,14.4,32.2,,,,,,,635.0,29.6,3.8,4.3,Cash
2024-01-18,19:31:29,"""CNR1107297""",Cancelled by Driver,"""CID5764848""",eBike,Gurgaon Railway Station,Badarpur,4.1,,,,1.0,The customer was coughing/sick,,,,,,,
2024-12-23,19:58:36,"""CNR7121044""",Completed,"""CID3604779""",Bike,Gurgaon Sector 29,Chhatarpur,12.4,16.3,,,,,,,1009.0,49.27,4.3,5.0,UPI
2024-09-22,15:02:02,"""CNR2845342""",No Driver Found,"""CID2118765""",Auto,Saket A Block,Kadarpur,,,,,,,,,,,,,
2024-09-27,02:54:13,"""CNR9861034""",Cancelled by Driver,"""CID2748750""",eBike,New Colony,Ghitorni Village,11.3,,,,1.0,More than permitted people in there,,,,,,,
2024-08-03,09:06:34,"""CNR4909899""",Completed,"""CID8680124""",Bike,Shastri Nagar,Huda City Centre,7.0,31.1,,,,,,,360.0,34.68,4.3,3.8,Credit Card
2024-06-21,20:59:47,"""CNR3651067""",Completed,"""CID9218574""",Auto,IGNOU Road,Jahangirpuri,5.5,23.1,,,,,,,1444.0,4.22,4.3,4.2,Debit Card
2024-11-16,10:09:41,"""CNR6728313""",Completed,"""CID1594475""",Go Sedan,Dilshad Garden,Anand Vihar ISBT,6.3,44.0,,,,,,,1418.0,5.37,4.8,4.5,Credit Card
2024-01-14,10:33:39,"""CNR7144130""",Cancelled by Customer,"""CID9794613""",Go Mini,Ambience Mall,India Gate,18.7,,1.0,AC is not working,,,,,,,,,
2024-12-19,23:58:46,"""CNR7900707""",Completed,"""CID7000093""",Go Sedan,Delhi Gate,Bahadurgarh,9.9,21.9,,,,,,,871.0,34.31,4.1,4.6,UPI
2024-03-26,07:30:22,"""CNR8686797""",No Driver Found,"""CID4663311""",Auto,Khan Market,Adarsh Nagar,,,,,,,,,,,,,
2024-01-14,09:23:19,"""CNR1242451""",Completed,"""CID8815760""",eBike,Greater Noida,Huda City Centre,5.2,38.4,,,,,,,143.0,21.71,3.8,4.1,Credit Card
2024-07-04,19:06:16,"""CNR2853718""",Completed,"""CID8257122""",Auto,Jama Masjid,Govindpuri,12.5,43.6,,,,,,,513.0,4.07,4.3,4.6,Debit Card
2024-07-09,17:00:35,"""CNR2959597""",Incomplete,"""CID2072194""",Premier Sedan,Indraprastha,Saket A Block,6.4,23.8,,,,,1.0,Other Issue,193.0,15.48,,,Uber Wallet
2024-08-03,12:17:47,"""CNR7495534""",Completed,"""CID6460858""",Bike,Badarpur,Model Town,8.2,17.3,,,,,,,442.0,26.33,3.9,4.7,UPI
2024-01-14,05:56:40,"""CNR3385134""",Cancelled by Driver,"""CID8123379""",Premier Sedan,Okhla,Patel Chowk,7.8,,,,1.0,Personal & Car related issues,,,,,,,
2024-07-22,07:42:19,"""CNR8330812""",Completed,"""CID8071103""",Auto,Chirag Delhi,AIIMS,14.2,32.3,,,,,,,489.0,26.02,3.2,4.9,UPI
2024-08-24,21:35:51,"""CNR5271135""",Completed,"""CID6343855""",Go Mini,Dwarka Mor,DLF Phase 3,11.0,33.2,,,,,,,1219.0,33.97,4.3,4.6,Cash
2024-10-09,23:56:07,"""CNR8364695""",Completed,"""CID4888512""",Go Mini,DLF Phase 3,Nirman Vihar,14.2,24.8,,,,,,,497.0,16.46,3.9,4.7,UPI
2024-01-03,18:13:19,"""CNR8683971""",No Driver Found,"""CID3527145""",Auto,Chhatarpur,Kashmere Gate ISBT,,,,,,,,,,,,,
2024-03-18,19:22:05,"""CNR8624151""",Incomplete,"""CID1162665""",Premier Sedan,Indirapuram,Gurgaon Sector 29,13.7,22.6,,,,,1.0,Other Issue,743.0,2.89,,,Credit Card
2024-04-24,13:17:13,"""CNR2095453""",Completed,"""CID6863062""",eBike,Sadar Bazar Gurgaon,IMT Manesar,11.5,24.8,,,,,,,671.0,18.06,4.1,4.7,Debit Card
2024-08-16,13:59:30,"""CNR9593564""",Completed,"""CID4198662""",Bike,GTB Nagar,Munirka,13.0,35.9,,,,,,,96.0,4.12,4.5,4.6,Cash
2024-08-18,20:11:52,"""CNR8458803""",Completed,"""CID3129094""",Go Sedan,Shivaji Park,New Delhi Railway Station,3.5,22.3,,,,,,,841.0,2.96,4.2,5.0,Uber Wallet
2024-03-15,04:14:29,"""CNR9583466""",Completed,"""CID8502127""",Auto,Mayur Vihar,Ashok Vihar,7.2,43.9,,,,,,,1337.0,46.25,4.2,3.9,UPI
2024-02-01,18:20:25,"""CNR7015048""",Cancelled by Driver,"""CID2825063""",Auto,IFFCO Chowk,Jahangirpuri,3.9,,,,1.0,Personal & Car related issues,,,,,,,
2024-12-30,20:57:39,"""CNR6869691""",Completed,"""CID5540570""",Go Mini,Sarojini Nagar,Bhiwadi,3.5,30.1,,,,,,,509.0,37.39,4.2,4.4,UPI
2024-03-18,15:54:46,"""CNR5309888""",No Driver Found,"""CID3225113""",eBike,Moti Nagar,Jama Masjid,,,,,,,,,,,,,
2024-11-29,18:11:34,"""CNR1055633""",Completed,"""CID6406862""",Auto,India Gate,Chirag Delhi,13.2,23.8,,,,,,,293.0,41.83,4.2,4.3,Debit Card
2024-04-20,15:03:43,"""CNR6421688""",Completed,"""CID3596834""",Premier Sedan,Aya Nagar,Barakhamba Road,12.9,35.8,,,,,,,248.0,48.49,3.2,4.8,Credit Card
2024-08-14,04:59:13,"""CNR8571254""",Cancelled by Customer,"""CID7288423""",Go Mini,Dilshad Garden,Karkarduma,16.3,,1.0,Change of plans,,,,,,,,,
2024-07-23,13:21:47,"""CNR2037709""",Completed,"""CID9236353""",Go Mini,Shastri Park,Gurgaon Sector 29,13.6,28.6,,,,,,,994.0,14.21,4.2,4.1,Uber Wallet
2024-05-24,23:27:55,"""CNR7410347""",Completed,"""CID3382452""",Auto,Malviya Nagar,Ardee City,11.6,37.1,,,,,,,443.0,7.26,4.1,3.7,Uber Wallet
